Year,Title,Task,Authors,Co-authors,Corresponding,Author Full,Journel,Citation,Abstract,Theme
2019,Cluster width of probability density functions,Unsupervised learning,Tai Vo-Van,-,Tai Vo-Van,Tai Vo-Van,Intelligent Data Analysis: An International Journal,5,"This study establishes the new results for Cluster Width of probability Density functions (CWD). There are the upper and lower bounds of CWD and the relationships of CWD to other measures in statistical discriminant. The CWD for two and more two probability density functions is determined in the different cases. Based on CWD, we propose a measure called similar coefficient to evaluate the quality of the established clusters. Furthermore, CWD is also used as a criterion to build two algorithms: to determine the suitable number of clusters and to analyse the fuzzy clusters. The numerical examples are given to illustrate the proposed algorithms and to prove their advantages over existing methods.",Foundation
2019,A New Binary Adaptive Elitist Differential Evolution Based Automatic k-Medoids Clustering for Probability Density Functions,Unsupervised learning,Dinh Pham-Toan,Tai Vo-Van; Thi Pham-Chau; Thao Nguyen-Trang; Diem Ho-Kieu,Diem Ho-Kieu,Dinh Pham-Toan; Tai Vo-Van; Thi Pham-Chau; Thao Nguyen-Trang; Diem Ho-Kieu,Mathematical Problems in Engineering,9,"This paper proposes an evolutionary computing based automatic partitioned clustering of probability density function, the so-called binary adaptive elitist differential evolution for clustering of probability density functions (baeDE-CDFs). Herein, the k-medoids based representative probability density functions (PDFs) are preferred to the k-means one for their capability of avoiding outlier effectively. Moreover, addressing clustering problem in favor of an evolutionary optimization one permits determining number of clusters “on the run”. Notably, the application of adaptive elitist differential evolution (aeDE) algorithm with binary chromosome representation not only decreases the computational burden remarkably, but also increases the quality of solution significantly. Multiple numerical examples are designed and examined to verify the proposed algorithm’s performance, and the numerical results are evaluated using numerous criteria to give a comprehensive conclusion. After some comparisons with other algorithms in the literature, it is worth noticing that the proposed algorithm reveals an outstanding performance in both quality of solution and computational time in a statistically significant way.", Meta-heuristic Optimization
2020,A new approach for face detection using the maximum function of probability density functions,Supervised learning,Ha Che-Ngoc,Thao Nguyen-Trang; Tran Nguyen-Bao; Trung Nguyen-Thoi; Tai Vo-Van,Tai Vo-Van,Ha Che-Ngoc; Thao Nguyen-Trang; Tran Nguyen-Bao; Trung Nguyen-Thoi; Tai Vo-Van, Annals of Operations Rese Annals of Operations Researcharch,14,"This article establishes some theoretical results about the maximum function of probability density functions and the integration of it. Using the probability density function extracted from the image as a relatively stable feature of the image and  as a measure the similarity between a ""face"" candidate region and a group of training face images, we propose a new face detection method, one of the most challenging tasks related to image analysis. The experiments demonstrate the competitiveness of the proposed method, especially in the case of rotated images. It also shows potential in real application of the researched problem.",Application
2020,Improving fuzzy clustering model for probability density functions using the two-objective genetic algorithm,Unsupervised learning,Dinh Pham-Toan,Tai Vo-Van,Tai Vo-Van,Dinh Pham-Toan; Tai Vo-Van, Multimedia Tools and Applications,7,"This paper proposes a fuzzy clustering model for probability density functions (PDFs) using the two-objective genetic algorithm. In this model, the L1-distance is used to evaluate the similarity of PDFs, and new two indexes that relate to the similarity of PDFs and clusters are proposed as the objective functions of genetic algorithm. Moreover, the operators for crossover, mutation, and selection are also updated to improve the quality of fuzzy clustering according to the corrected rand, the partition entropy, and the partition coefficients. By combining these improvements, we have an effective automatic fuzzy clustering algorithm for PDFs that can determine the appropriate number of clusters, the elements in each cluster, and the probability belonging to clusters of each element. The proposed model is tested through experiments using the established Matlab procedure, and it is also applied effectively to image data. These experiments demonstrate the superiority of the proposed model compared to other models.",Meta-heuristic Optimization
2020,A jackknife entropy-based clustering algorithm for probability density functions,Unsupervised learning,Jen-Hao Chen,Wen-Liang Hung,Wen-Liang Hung,Jen-Hao Chen; Wen-Liang Hung,Journal of Statistical Computation and Simulation ,6,"This paper proposes a new unsupervised learning algorithm called jackknife entropy-based clustering algorithm for grouping families of probability density functions (pdfs). The fitness function is used to choose the best threshold values of similarity in the proposed algorithm. We demonstrate the correctness and robustness of the proposed algorithm on a synthetic data set. Finally, we apply the algorithm to texture clustering.",Foundation
2021,entropy-based supervised learning for probability density functions,Unsupervised learning,Rusul Mohsin Moharib Alsarray,Yarob Abdullah,Rusul Mohsin Moharib Alsarray,Rusul Mohsin Moharib Alsarray; Yarob Abdullah,National Conference on the Latest Achievements in Data Engineering and Soft Knowledge and Computing,0,"Clustering is the task of dividing the population or data points into a number of groups such that data points in the same groups are more similar to other data points in the same group than those in other groups. This paper proposes a new unsupervised learning algorithm called the jackknife entropy-based clustering algorithm for grouping families of probability density functions (pdfs). To this end, the Renyi entropy with accomplishing the KullbackLeibler divergence is utilized. Using the aforementioned strategy, the clustering method is examined through some simulation studies. Their advantages are provided and finally, a real data set are analyzed.",Foundation
2021,Fuzzy kernel K‑medoids clustering algorithm for uncertain data objects,Unsupervised learning,Behnam Tavakkol,Youngdoo Son,Behnam Tavakkol,Behnam Tavakkol; Youngdoo Son, Pattern Analysis and Applications,15,"Most data mining algorithms are designed for traditional type of data objects which are referred to as certain data objects. Certain data objects contain no uncertainty information and are represented by a single point. Capturing uncertainty can result in better performance of algorithms as they might generate more accurate results. There are different ways of modeling uncertainty for data objects, two of the most popular ones are: (1) considering a group of points for each object and (2) considering a probability density function (pdf) for each object. Objects modeled in these ways are referred to as uncertain data objects. Fuzzy clustering is a well-established field of research for certain data. When fuzzy clustering algorithms are used, degrees of membership are generated for assignment of objects to clusters which gives the flexibility to express that objects can belong to more than one cluster. To the best of our knowledge, for uncertain data, there is only one existing fuzzy clustering algorithm in the literature. The existing uncertain fuzzy clustering algorithm, however, cannot properly create non-convex shaped clusters, and therefore, its performance is not that well on uncertain data sets with arbitrary-shaped clusters—clusters that are non-convex, unconventional, and possibly nonlinearly separable. In this paper, we propose a novel fuzzy kernel K-medoids clustering algorithm for uncertain objects which works well on data sets with arbitrary-shaped clusters. We show through several experiments on synthetic and real data that the proposed algorithm outperforms the competitor algorithms: certain fuzzy K-medoids and the uncertain fuzzy K-medoids.",Foundation
2022,Balance-driven automatic clustering for probability density functions using metaheuristic optimization,Unsupervised learning,Thao Nguyen-Trang,Trung Nguyen-Thoi; Kim-Ngan Nguyen-Thi; Tai Vo-Van,Tai Vo-Van,Thao Nguyen-Trang; Trung Nguyen-Thoi; Kim-Ngan Nguyen-Thi; Tai Vo-Van, International Journal of Machine Learning and Cybernetics,17,"For solving the clustering for probability density functions (CDF) problem with a given number of clusters, the metaheuristic optimization (MO) algorithms have been widely studied because of their advantages in searching for the global optimum. However, the existing approaches cannot be directly extended to the automatic CDF problem for determining the number of clusters k. Besides, balance-driven clustering, an essential research direction recently developed in the problem of discrete-element clustering, has not been considered in the field of CDF. This paper pioneers a technique to apply an MO algorithm for resolving the balance-driven automatic CDF. The proposed method not only can automatically determine the number of clusters but also can approximate the global optimal solution in which both the clustering compactness and the clusters’ size similarity are considered. The experiments on one-dimensional and multidimensional probability density functions demonstrate that the new method possesses higher quality clustering solutions than the other conventional techniques. The proposed method is also applied in analyzing the difficulty levels of entrance exam questions.",Meta-heuristic Optimization
2023,Globally automatic fuzzy clustering for probability density functions and its application for image data,Unsupervised learning,Thao Nguyen-Trang,Trung Nguyen-Thoi; Tai Vo-Van,Tai Vo-Van,Thao Nguyen-Trang; Trung Nguyen-Thoi; Tai Vo-Van, Applied Intelligence,14,"Clustering for probability density functions (CDF) can be categorized as non-fuzzy and fuzzy approaches. Regarding the second approach, the iterative refinement technique has been used for searching the optimal partition. This method could be easily trapped at a local optimum. In order to find the global optimum, a meta-heuristic optimization (MO) algorithm must be incorporated into the fuzzy CDF problem. However, no research utilizing MO to solve the fuzzy CDF problem has been proposed so far due to the lack of a reasonable encoding for converting a fuzzy clustering solution to a chromosome. To address this shortcoming, a new definition called Gaussian prototype is defined first. This type of prototype is capable of accurately representing the cluster without being overly complex. As a result, prototypes’ information can be easily integrated into the chromosome via a novel prototype-based encoding method. Second, a new objective function is introduced to evaluate a fuzzy CDF solution. Finally, Differential Evolution (DE) is used to determine the optimal solution for fuzzy clustering. The proposed method, namely DE-AFCF, is the first to propose a globally automatic fuzzy CDF algorithm, which not only can automatically determine the number of clusters k but also can search for the optimal fuzzy partition matrix by taking into account both clustering compactness and separation. The DE-AFCF is also applied in some image clustering problems, such as processed image detection, and traffic image recognition.",Meta-heuristic Optimization
2023,Automatic fuzzy clustering for probability density functions using the genetic algorithm,Unsupervised learning,Dinh Pham-Toan,Tai Vo-Van,Tai Vo-Van,Dinh Pham-Toan; Tai Vo-Van,Neural Computing and Applications,8,"Based on the genetic algorithm, this study develops the new fuzzy clustering method for probability density functions (pdfs) with the important improvements. First, the L1-distance is proposed as the measure to evaluate the level similar of the pdfs. It is surveyed to find the bounds and established the methods to compute. Second, we propose the new objective for the genetic algorithm. This objective measures both the similarity of elements in each group and the quality of clustering. Finally, the operators such as crossover, mutation, and selection of the traditional genetic algorithm are improved. Combining these improvements, we have an efficient cluster analysis algorithm for pdfs. In this algorithm, the proper number of groups, the specific pdfs in each cluster, and the fuzzy relationship between the pdf to the established clusters are determined at the same time. The convergence of the proposed algorithm is proved by theory and performed by the established MATLAB program. The experiments and applications show superiority of the developed algorithm in comparing to the existing algorithms. The proposed algorithm is also applied in recognizing images to certify the feasibility and applicability of the studied problem.",Meta-heuristic Optimization
